gen_length,ref_length,length_ratio,bleu1,bleu2,bleu4,meteor,rouge1,rouge2,rougeL,bertscore_f1,cider,token_precision,token_recall,token_f1,shot_id,start_time,movie_id
36,31,1.1612903225806452,0.2222222222222222,0.07968190728895957,0.01542345413162388,0.18538114834411135,0.3283582089552239,0.061538461538461535,0.1791044776119403,0.06423521786928177,0.27021064262779676,0.2,0.21428571428571427,0.20689655122473247,0,0.0,10142
27,17,1.588235294117647,0.25925925925925924,0.14121975762272054,0.024010981785257506,0.49555555555555547,0.6818181818181819,0.4761904761904762,0.6363636363636364,0.3928450047969818,0.7569556101521896,0.2608695652173913,0.42857142857142855,0.32432432385390797,1,14.8,10142
31,33,0.9393939393939394,0.12097045068822804,0.019443279647286517,0.007998089406002313,0.06097560975609755,0.15384615384615385,0.0,0.12307692307692308,0.030539680272340775,0.0059173202638828585,0.08333333333333333,0.06666666666666667,0.07407407358024691,3,27.6,10142
43,28,1.5357142857142858,0.1627906976744186,0.062257280636469035,0.01239892724105193,0.18034957627118645,0.1971830985915493,0.028985507246376812,0.14084507042253522,0.07656021416187286,0.2169169553916578,0.17647058823529413,0.2608695652173913,0.2105263153080948,5,44.4,10142
29,28,1.0357142857142858,0.3103448275862069,0.10527936095153945,0.019933673568014454,0.2647686832740214,0.3859649122807017,0.07272727272727272,0.21052631578947367,0.2264252007007599,0.26976707225217145,0.2692307692307692,0.30434782608695654,0.28571428521616,6,45.0,10142
36,24,1.5,0.16666666666666669,0.02182178902359924,0.008071364532479952,0.13888888888888887,0.19672131147540983,0.0,0.1639344262295082,0.08854759484529495,0.1512896582247386,0.1,0.15,0.11999999951999998,9,71.0,10142
32,10,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11037370562553406,0.0,0.0,0.0,0.0,10,79.6,10142
36,10,3.6,0.02777777777777778,0.00890870806374748,0.005157142709886005,0.03968253968253969,0.0425531914893617,0.0,0.0425531914893617,0.06113516166806221,0.09020671997176435,0.029411764705882353,0.1,0.045454545103305787,11,80.8,10142
19,6,3.1666666666666665,0.15789473684210523,0.09365858115816939,0.023830412565256146,0.20547945205479454,0.23999999999999996,0.08695652173913045,0.23999999999999996,0.31375861167907715,0.49641074893586606,0.2,0.5,0.2857142853061225,12,83.0,10142
16,20,0.8,0.1460251468258884,0.027534765745159194,0.012607704921829504,0.07653061224489795,0.16666666666666663,0.0,0.11111111111111112,0.18870997428894043,0.01501913743647915,0.2,0.17647058823529413,0.18749999950195315,14,85.2,10142
46,20,2.3,0.06521739130434781,0.01203858530857692,0.0052608684749981885,0.06637168141592921,0.08955223880597013,0.0,0.08955223880597013,0.028220465406775475,0.008341204425469224,0.09375,0.17647058823529413,0.12244897913869218,15,87.0,10142
19,20,0.95,0.09986626105436179,0.02294269018437154,0.011488177632088462,0.05025125628140704,0.15384615384615385,0.0,0.10256410256410256,0.17973966896533966,0.003091373651081671,0.11764705882352941,0.11764705882352941,0.11764705832352942,16,87.8,10142
18,20,0.9,0.1491398861357283,0.02801850584035991,0.012721613711396774,0.07575757575757576,0.15789473684210525,0.0,0.15789473684210525,0.15859338641166687,0.014460687514596771,0.17647058823529413,0.17647058823529413,0.17647058773529412,17,89.8,10142
33,20,1.65,0.12121212121212123,0.01946247360403808,0.007988739893685173,0.09389671361502348,0.15094339622641512,0.0,0.11320754716981132,0.09614657610654831,0.2218408943664658,0.10344827586206896,0.17647058823529413,0.13043478214272208,18,91.0,10142
14,60,0.23333333333333334,0.013362089774013071,0.006201285479396108,0.0014210638375122457,0.07696550340954673,0.18918918918918917,0.027777777777777776,0.10810810810810811,0.06810657680034637,0.32918026173104764,0.3333333333333333,0.08333333333333333,0.13333333301333333,0,0.0,2873
32,15,2.1333333333333333,0.0,0.0,0.0,0.059880239520958084,0.1702127659574468,0.0,0.12765957446808512,-0.06456825137138367,0.0,0.0,0.0,0.0,8,75.6,2873
34,11,3.090909090909091,0.0588235294117647,0.01335114674586382,0.006510755202591488,0.07518796992481203,0.08888888888888888,0.0,0.04444444444444444,-0.03993590921163559,0.03530953354209642,0.06451612903225806,0.18181818181818182,0.09523809485147393,16,162.4,2873
24,27,0.8888888888888888,0.22062422564614886,0.029095061269827308,0.010929637020896287,0.1310861423220974,0.23529411764705882,0.0,0.15686274509803924,0.04878968000411987,0.29865162784091864,0.2857142857142857,0.24,0.260869564721172,32,295.0,2873
